CustomerID,Full_Name,Email,Phone,Address,Date_of_Birth,Occupation,Industry,Lead_Source,Preferred_Contact_Method,Annual_Income,Last_Contacted
CUST6218,Seth Howard,kennethpierce@hotmail.com,985.802.9653x77096,"7139 William Station, South Jenniferfurt, MS 46355",8/16/1991,Engineer,Finance,N/A,SMS,51835.94,2/6/2025
CUST9657,Angel Obrien,nmosley@gmail.com,207-943-3879x247,"17911 Samantha Road, Annaburgh, TX 29445",3/25/1992,Technician,Finance,N/A,Email,96764.03,5/28/2024
CUST3929,Tiffany Hartman,kathleen93@reyes.com,001-356-012-0670,"3671 Williams Prairie, North Jodifort, MD 86442",2/21/1986,Engineer,Finance,Referral,Phone,85696.19,8/26/2024
CUST1666,Stacy Mendoza,leslie97@ellis-cooper.com,021.101.0794x586,"76601 Meghan Parks, Jacksonhaven, ME 18301",1/11/2000,Director,Healthcare,N/A,,48657.28,10/16/2024
CUST5016,Mr. Charles Williams V,hjones@hotmail.com,+1-745-170-1007x26950,"27765 Adams Forks, Moorefurt, NY 76173",6/6/1974,Analyst,Finance,Unknown,Phone,110758.12,10/31/2024
CUST3680,Laura Hernandez,debra50@raymond.com,894-588-1300x5271,"378 Johnson Isle Apt. 672, Hoodhaven, CA 61513",6/28/1958,Analyst,Healthcare,Referral,SMS,33287.34,4/1/2025
CUST3799,Kelsey Johnson,xandrews@hotmail.com,+1-867-972-9974x3288,"469 Cooper Harbor Suite 008, New Adrian, MT 66360",12/24/2001,Engineer,Education,Unknown,SMS,98484.38,7/13/2024
CUST4531,Robert Fitzpatrick,ryanphillips@smith-holmes.com,001-244-919-3877,"519 Morales Shores Suite 911, Lake Brentborough, WY 07625",5/26/1998,Technician,Retail,Event,Email,146505.05,9/17/2024
CUST6806,Thomas Solis,castillochristian@shields.org,6756556457,"27347 Fowler Loaf Apt. 555, West Timothystad, UT 27764",4/23/1988,Engineer,Manufacturing,Social Media,SMS,95055.78,7/26/2024
CUST5033,Jason Smith,harrisdennis@romero-knight.com,544.901.4339x4422,"PSC 4078, Box 0783, APO AP 71551",10/18/2000,Engineer,Finance,N/A,Phone,120498.88,5/9/2024
CUST4075,Richard Johnson,brandyking@yahoo.com,7541830876,"577 Boyd Crescent Apt. 556, Frankmouth, NV 16799",3/12/1991,Manager,Finance,Email Campaign,SMS,78943.34,5/20/2024
CUST9709,Dana Moore,meganramos@lee.com,001-572-371-6990,"894 Woods Passage, Andersonmouth, DE 73406",6/24/1996,Manager,Education,Social Media,Phone,107122.77,5/25/2024
CUST2814,Michelle Navarro,kimberly51@wright.com,083-897-2471x79407,"2939 Brandon Estate Suite 209, Phillipschester, CO 86727",4/9/1996,Technician,Technology,Website,Phone,89438.18,5/22/2024
CUST4990,Ronald Rodriguez,qwolfe@jones.com,712-995-7770x755,"5688 Mccoy Keys, Pooleshire, OH 57505",3/9/1996,Manager,Retail,Email Campaign,SMS,148638.04,5/13/2024
CUST8446,Linda Thompson,smosley@yahoo.com,(197)574-1625,"59312 Collins Mills, Rachelport, ND 62530",4/30/1999,Technician,Manufacturing,Referral,SMS,129570.75,11/29/2024
CUST6683,Curtis Patton,tylermeyer@conner.com,580.336.9576x87352,"900 Cathy Summit Apt. 885, Port Jenniferside, MO 63637",2/17/1967,Manager,Finance,Unknown,SMS,72151.42,11/26/2024
CUST1034,Veronica Middleton,kwilliams@mcdaniel.net,110.151.9752,"4063 Ho Crescent Suite 464, East Tracy, NE 22475",2/9/1955,Manager,Manufacturing,N/A,SMS,47641.45,3/5/2025
CUST3676,Leah Hudson,ethan40@gray.info,+1-853-254-2048x26807,"21017 Gina Drives, West Edward, OK 34154",4/20/1986,Consultant,Technology,Email Campaign,Phone,54434.42,11/24/2024
CUST5596,Chelsea Arroyo,patricia65@yahoo.com,+1-717-741-4871x931,"99803 Tanya Isle Apt. 185, Franciscoport, IL 78716",3/5/1975,Technician,Manufacturing,Event,SMS,117111.8,5/29/2024
CUST1989,Emily Estes,walteroneal@hotmail.com,(592)325-5151x39969,"785 Danielle Track Suite 767, South Michellefurt, MT 91902",9/26/1955,Director,Retail,Social Media,Phone,149652.35,1/8/2025
CUST3263,James Pena,matthew99@gmail.com,912-913-2112,"63522 Jimmy Expressway, South Daniel, TX 33113",4/11/1997,Director,Retail,Website,Email,131943.38,4/26/2024
CUST2582,Charlotte Shepard,rachelduncan@yahoo.com,+1-055-456-8862x0446,"7673 Chapman Courts Suite 283, Traciville, MO 66668",2/8/1975,Technician,Healthcare,Unknown,,97533.17,8/23/2024
CUST2452,Calvin King,yjenkins@hale.com,-9635,"515 Brown River Suite 549, South Brittanymouth, AR 30111",7/9/1986,Consultant,Manufacturing,Email Campaign,SMS,146240.19,10/23/2024
CUST6473,Manuel Underwood,zhickman@hotmail.com,+1-794-539-7129x3288,"2712 Ford Spurs Apt. 774, West Ericatown, VT 01235",7/18/1956,Technician,Technology,Website,SMS,119917.84,5/31/2024
CUST6688,Walter Cline,uolson@reeves.com,+1-205-442-6347x9772,"429 Kurt Cliffs Suite 055, Haleyshire, MI 29435",3/30/1959,Engineer,Education,Email Campaign,Phone,78984.08,4/10/2025
CUST8922,Thomas Ruiz,julielopez@gmail.com,632.054.4414x55163,"59511 Alfred Landing Suite 921, Snyderhaven, IL 75373",10/6/1960,Technician,Education,Event,Phone,85998.62,3/24/2025
CUST4559,Dana Davis,karencross@yahoo.com,+1-100-320-6393x896,"9593 Whitaker Points, New Adamport, MN 20713",7/28/1962,Technician,Education,Unknown,Phone,39869.1,9/29/2024
CUST9701,John Watson,glennelizabeth@castro-scott.biz,###-###-####,"626 Ramos Shores Suite 744, Lake Brettburgh, MS 83280",7/1/1992,Director,Manufacturing,Website,SMS,83518.74,4/29/2024
CUST4251,Michael Johnson,lewismark@gmail.com,###-###-####,"551 Sanchez Haven, East Brianton, CO 87139",4/9/1972,Analyst,Education,Referral,Email,51313.31,9/20/2024
CUST3534,Jenna May,scooper@tucker-chan.net,481-407-6481x1354,"Unit 7516 Box 2336, DPO AE 54351",2/26/1994,Engineer,Finance,N/A,,126083.02,6/22/2024
CUST9700,Christopher Smith,gonzaleznicole@griffin-aguilar.com,889.237.9796,"813 Jessica Extensions, West Ronald, WV 94981",11/13/1990,Manager,Healthcare,N/A,,143090.33,4/3/2025
CUST2350,Brianna Vargas,tstevens@gmail.com,412-694-3934,"295 Lopez Forest, Erikabury, OR 76086",5/8/1975,Analyst,Manufacturing,Unknown,,145367.18,6/11/2024
CUST3889,Janet Harris,millerjoshua@smith-peters.com,+1-849-926-8682x05503,"0980 Williams Lake, New Nicoleton, VT 40711",5/13/1971,Technician,Technology,Referral,SMS,71869,11/4/2024
CUST2575,Parker Davis,richard14@hotmail.com,001-499-600-4728x9024,"5699 Hamilton Fords, West Brittanyside, TX 66986",9/4/1971,Technician,Education,Email Campaign,,35730.55,11/8/2024
CUST3877,Diane Rojas,dawsontimothy@yahoo.com,1343834394,"92554 Aaron Hill, Port Samantha, OH 46201",12/15/1998,Engineer,Education,Website,Phone,96497.21,12/10/2024
CUST4169,Melissa Berry,stephaniejohnson@tucker.info,+1-048-023-8416x2351,"71623 Barr Ferry Suite 800, Ayalaburgh, VA 33618",12/14/1964,Engineer,Technology,N/A,Email,49762.43,10/17/2024
CUST3809,Randy Morrison,hopkinstammy@richmond.com,001-622-935-6664x3755,"10057 Daniel Well Apt. 077, Websterborough, DE 21818",7/5/1970,Analyst,Finance,Event,Phone,56202.04,10/16/2024
CUST1588,Danielle Reed,uanderson@hotmail.com,(613)271-2596x90854,"981 Wallace Vista Apt. 323, Sabrinahaven, WV 38027",12/27/1959,Manager,Manufacturing,Referral,,51589.64,10/27/2024
CUST5471,Jaime Cole,tporter@yahoo.com,(237)821-3030x558,"06577 Williams Mountain Suite 871, North Eric, AL 00510",4/15/1990,Consultant,Healthcare,Website,Email,105667.76,5/16/2024
CUST4540,Stacey Frank,qlyons@barajas-haynes.com,+1-017-369-5478x709,"12704 Tanya Creek Suite 928, Ortizborough, IL 87189",9/17/1966,Consultant,Retail,Email Campaign,Email,107537.39,2/8/2025
CUST7549,Thomas Carpenter,tammyandrews@carney.info,(277)796-2164x672,"986 Buck Passage, Port Amanda, OH 06919",8/31/2005,Engineer,Finance,Email Campaign,SMS,124077.03,12/24/2024
CUST2722,Yvonne Robertson,elizabeth15@bowen-bradley.com,001-853-305-6618,"4272 Brown Trail, South Corey, RI 58355",10/13/1968,Manager,Healthcare,Referral,,38223.7,12/6/2024
CUST9681,Corey Jackson,ryanjessica@hotmail.com,(021)655-0937,"USS Adams, FPO AA 53351",10/10/1999,Analyst,Retail,Referral,Email,77607,6/29/2024
CUST7305,Scott Jordan,kennethpowers@hotmail.com,8747886161,"089 Michael Cape, Lake Nicole, AK 51621",6/2/1992,Engineer,Finance,N/A,Email,145969.51,9/20/2024
CUST9219,Carl Garcia,kevin59@hamilton.com,753.631.8825,"0692 Williams Orchard Suite 952, Lake Cynthiaborough, SD 51102",4/24/1962,Manager,Healthcare,Email Campaign,,82576.59,4/8/2025
CUST8379,Patricia Hall,johnfleming@yahoo.com,485-529-7826x386,"425 Huff Ferry Apt. 899, Dustinmouth, AR 05202",9/20/1964,Engineer,Healthcare,Email Campaign,Email,148090.15,12/26/2024
CUST8273,Clinton Hayes,wangcheryl@madden.com,820-478-1378x947,"54091 Samantha Tunnel, New Tylerview, OR 14320",6/20/1978,Consultant,Education,Email Campaign,,40123.59,1/11/2025
CUST8393,Tyler Thomas,flarson@moore-kelley.com,087-915-3590,"0739 Brandon Road, Underwoodstad, RI 98646",4/17/1967,Manager,Finance,Event,Email,117236.82,10/28/2024
CUST7038,Robert Lopez,cthomas@miller.com,744.645.3400x48155,"127 Thomas Divide Apt. 944, Meghanborough, NM 82820",4/11/1966,Engineer,Manufacturing,Email Campaign,Phone,27394.35,9/1/2024
CUST7685,Joseph Herrera,stewartdennis@gmail.com,+1-842-303-8885x19377,"81883 Andrea Orchard, West Leahborough, NH 66015",5/4/1976,Engineer,Healthcare,Website,Email,107777.63,12/10/2024
CUST3333,Matthew Freeman,daughertyeric@yahoo.com,068-280-8734,"72044 Jodi Via, Brianborough, AZ 70990",12/15/1995,Consultant,Finance,Event,Phone,95259.48,7/19/2024
CUST2854,,cevans@farrell-horn.com,(606)053-7890,"956 Andrea Fall Apt. 157, Danielberg, GA 34478",8/10/1994,Director,Finance,Email Campaign,SMS,141511.81,6/6/2024
CUST5122,Mitchell Fox,joseph85@yahoo.com,545-187-9177x2842,"90841 Ashley Fords Suite 464, Jasonmouth, AL 78863",5/28/1980,Technician,Technology,Social Media,Phone,54529.89,4/7/2025
CUST8424,Jessica Abbott,ythompson@hart-baird.com,(334)269-6058x88326,"Unit 3200 Box 1464, DPO AA 10971",7/13/1968,Technician,Technology,Social Media,,61103.04,7/13/2024
CUST9350,Matthew Cordova,derekmullins@yahoo.com,+1-721-728-6413x36671,"8559 Hailey Island Apt. 794, North Joelland, AZ 14707",2026-15-45,Engineer,Finance,Email Campaign,Email,29523.89,3/17/2025
CUST5929,Robin Barrera,terrellaudrey@gmail.com,803-718-7767x044,"298 Erin Ports, North Larryton, RI 49965",3/14/1966,Director,Education,Referral,SMS,134512.34,10/8/2024
CUST5180,Andrew Rodriguez,joelsuarez@yahoo.com,(863)911-5893,"7678 Young Coves, Johnnyborough, AR 10938",9/28/1975,Analyst,Education,Referral,,128386.84,8/29/2024
CUST5491,Shannon Brown,russelljason@reynolds.net,-4886,"878 Nathan Branch, West Antonioshire, ID 60778",2/21/1976,Analyst,Manufacturing,Unknown,Email,106822.22,10/4/2024
CUST9266,Julia Williams,amyconley@yahoo.com,(811)702-9377x5971,"735 Jackson Extension Apt. 318, South Deniseshire, WI 74277",2/16/1964,Analyst,Technology,Website,Phone,54380.57,9/25/2024
CUST9130,Cynthia Collier,martha81@patel.com,001-650-157-2362x32129,"49205 Cameron Squares Apt. 188, Lake Alan, TX 01618",1/18/1973,Technician,Manufacturing,Referral,SMS,56628.32,10/5/2024
CUST6786,Sandra Hamilton,rollinschristopher@manning.com,294-294-3607,"652 Michelle Rue Apt. 527, Jadefort, KS 85710",12/1/1981,Technician,Education,Referral,SMS,85703.18,10/15/2024
CUST8156,Laura Scott,miranda74@hotmail.com,556.107.2495,"5512 Espinoza Pike Suite 274, East Mark, MD 96314",7/21/1970,Engineer,Finance,N/A,,127815.25,6/18/2024
CUST8462,Benjamin Wolfe,jmurray@gmail.com,926.436.5356,"516 Nelson Spurs Apt. 846, Hendersonmouth, KY 11661",2/11/1990,Engineer,Education,Unknown,Phone,102824.74,2/8/2025
CUST7769,Devin Juarez,rwilliams@watts.com,856.658.6647x5386,"0086 Dougherty Park Suite 974, North Sandraberg, CO 74751",8/1/1963,Manager,Technology,Email Campaign,,92917.89,7/23/2024
CUST3010,Kimberly Smith,sarah25@perez-flores.org,071.168.2812x3023,"7314 Hubbard Cliff Suite 954, Smithmouth, SD 66845",5/6/1996,Engineer,Technology,Referral,Email,128497.35,2/2/2025
CUST4653,Jessica Martinez,dhanson@yahoo.com,(955)553-5786,"99219 Riddle Fork, Andrewchester, CT 31471",8/6/1990,Director,Healthcare,Email Campaign,Phone,25437.75,9/4/2024
CUST3488,Nancy Anderson,bfowler@wallace.org,3282922533,"PSC 0165, Box 1483, APO AP 77446",7/8/1963,Engineer,Education,Referral,Phone,106701.34,9/2/2024
CUST3094,James Salazar,amiller@hotmail.com,977-502-4362x70315,"5964 Meza Locks Apt. 202, Port Erinport, WY 41615",3/30/1969,Director,Retail,Event,Phone,140349.3,9/20/2024
CUST8029,James Johnson,jesus74@gmail.com,(519)101-7609x44475,"339 Bridget Island, Port Cynthia, AL 36107",1/12/1993,Manager,Healthcare,Email Campaign,Email,43316.89,7/9/2024
CUST7781,Deanna Flores,tyoung@martin.com,308-297-2307x36060,"017 Cheryl Harbor, East Alexander, RI 98494",4/25/1970,Consultant,Technology,Unknown,Phone,54684.74,6/8/2024
CUST9688,John Lawson,edwardshaw@stein.com,+1-356-084-9303x4236,"238 Jennifer Court, Port Carlaberg, NV 74533",8/17/2006,Engineer,Retail,Unknown,Email,131617.12,3/10/2025
CUST6020,Jamie Whitaker,brian84@yahoo.com,001-161-412-2231,"052 Deborah Stream, Russellview, NY 50993",1/27/1968,Manager,Retail,Social Media,SMS,126669.73,9/9/2024
CUST1410,Erica Miller,gmcclain@gmail.com,(592)435-3204x78227,"2415 Tanya Fords Apt. 456, Lake Deborahville, WV 11116",8/15/1995,Manager,Finance,N/A,Phone,71800.58,9/4/2024
CUST7427,Kimberly Sutton,diamond06@yahoo.com,146-009-3947x43232,"PSC 1544, Box 3751, APO AP 04030",12/1/1961,Engineer,Education,Social Media,,108337.36,4/25/2025
CUST9655,Sarah Dennis,urandolph@hotmail.com,001-747-473-7571x73757,"86109 Anna Route, Roweview, AK 42239",10/22/1984,Analyst,Finance,Website,SMS,43213.82,6/7/2024
CUST7172,Hunter Mccoy,invalid_email@,(355)539-9732x056,"Unit 1613 Box 8165, DPO AA 30776",9/15/1983,Engineer,Finance,Event,,64939.32,6/9/2024
CUST9287,Cassidy Owens,thomasmichael@williams.com,(781)475-8563x32369,"Unit 3582 Box 5734, DPO AE 92115",3/10/2002,Consultant,Manufacturing,Event,Email,70075.41,8/15/2024
CUST3045,Angela Murray,jerome55@yahoo.com,8912022897,"02266 Salinas Streets, West Tracy, MA 75188",2/3/1984,Manager,Education,Website,,20219.87,8/10/2024
CUST5605,Becky Todd,richard81@gmail.com,+1-027-083-4319x310,"PSC 5569, Box 0873, APO AA 99745",11/30/1991,Technician,Technology,N/A,Phone,67348.79,5/22/2024
